Name,Miles_per_Gallon,Cylinders,Displacement,Horsepower,Weight_in_lbs,Acceleration,Year,Origin
chevrolet chevelle malibu,18.0,8,307.0,130.0,3504,12.0,1970-01-01,USA
buick skylark 320,15.0,8,350.0,165.0,3693,11.5,1970-01-01,USA
plymouth satellite,18.0,8,318.0,150.0,3436,11.0,1970-01-01,USA
amc rebel sst,16.0,8,304.0,150.0,3433,12.0,1970-01-01,USA
ford torino,17.0,8,302.0,140.0,3449,10.5,1970-01-01,USA
ford galaxie 500,15.0,8,429.0,198.0,4341,10.0,1970-01-01,USA
chevrolet impala,14.0,8,454.0,220.0,4354,9.0,1970-01-01,USA
plymouth fury iii,14.0,8,440.0,215.0,4312,8.5,1970-01-01,USA
pontiac catalina,14.0,8,455.0,225.0,4425,10.0,1970-01-01,USA
amc ambassador dpl,15.0,8,390.0,190.0,3850,8.5,1970-01-01,USA
citroen ds-21 pallas,,4,133.0,115.0,3090,17.5,1970-01-01,Europe
chevrolet chevelle concours (sw),,8,350.0,165.0,4142,11.5,1970-01-01,USA
ford torino (sw),,8,351.0,153.0,4034,11.0,1970-01-01,USA
plymouth satellite (sw),,8,383.0,175.0,4166,10.5,1970-01-01,USA
amc rebel sst (sw),,8,360.0,175.0,3850,11.0,1970-01-01,USA
dodge challenger se,15.0,8,383.0,170.0,3563,10.0,1970-01-01,USA
plymouth 'cuda 340,14.0,8,340.0,160.0,3609,8.0,1970-01-01,USA
ford mustang boss 302,,8,302.0,140.0,3353,8.0,1970-01-01,USA
chevrolet monte carlo,15.0,8,400.0,150.0,3761,9.5,1970-01-01,USA
buick estate wagon (sw),14.0,8,455.0,225.0,3086,10.0,1970-01-01,USA
toyota corona mark ii,24.0,4,113.0,95.0,2372,15.0,1970-01-01,Japan
plymouth duster,22.0,6,198.0,95.0,2833,15.5,1970-01-01,USA
amc hornet,18.0,6,199.0,97.0,2774,15.5,1970-01-01,USA
ford maverick,21.0,6,200.0,85.0,2587,16.0,1970-01-01,USA
datsun pl510,27.0,4,97.0,88.0,2130,14.5,1970-01-01,Japan
volkswagen 1131 deluxe sedan,26.0,4,97.0,46.0,1835,20.5,1970-01-01,Europe
peugeot 504,25.0,4,110.0,87.0,2672,17.5,1970-01-01,Europe
audi 100 ls,24.0,4,107.0,90.0,2430,14.5,1970-01-01,Europe
saab 99e,25.0,4,104.0,95.0,2375,17.5,1970-01-01,Europe
bmw 2002,26.0,4,121.0,113.0,2234,12.5,1970-01-01,Europe
amc gremlin,21.0,6,199.0,90.0,2648,15.0,1970-01-01,USA
ford f250,10.0,8,360.0,215.0,4615,14.0,1970-01-01,USA
chevy c20,10.0,8,307.0,200.0,4376,15.0,1970-01-01,USA
dodge d200,11.0,8,318.0,210.0,4382,13.5,1970-01-01,USA
hi 1200d,9.0,8,304.0,193.0,4732,18.5,1970-01-01,USA
datsun pl510,27.0,4,97.0,88.0,2130,14.5,1971-01-01,Japan
chevrolet vega 2300,28.0,4,140.0,90.0,2264,15.5,1971-01-01,USA
toyota corona,25.0,4,113.0,95.0,2228,14.0,1971-01-01,Japan
ford pinto,25.0,4,98.0,,2046,19.0,1971-01-01,USA
volkswagen super beetle 117,,4,97.0,48.0,1978,20.0,1971-01-01,Europe
amc gremlin,19.0,6,232.0,100.0,2634,13.0,1971-01-01,USA
plymouth satellite custom,16.0,6,225.0,105.0,3439,15.5,1971-01-01,USA
chevrolet chevelle malibu,17.0,6,250.0,100.0,3329,15.5,1971-01-01,USA
ford torino 500,19.0,6,250.0,88.0,3302,15.5,1971-01-01,USA
amc matador,18.0,6,232.0,100.0,3288,15.5,1971-01-01,USA
chevrolet impala,14.0,8,350.0,165.0,4209,12.0,1971-01-01,USA
pontiac catalina brougham,14.0,8,400.0,175.0,4464,11.5,1971-01-01,USA
ford galaxie 500,14.0,8,351.0,153.0,4154,13.5,1971-01-01,USA
plymouth fury iii,14.0,8,318.0,150.0,4096,13.0,1971-01-01,USA
dodge monaco (sw),12.0,8,383.0,180.0,4955,11.5,1971-01-01,USA
ford country squire (sw),13.0,8,400.0,170.0,4746,12.0,1971-01-01,USA
pontiac safari (sw),13.0,8,400.0,175.0,5140,12.0,1971-01-01,USA
amc hornet sportabout (sw),18.0,6,258.0,110.0,2962,13.5,1971-01-01,USA
chevrolet vega (sw),22.0,4,140.0,72.0,2408,19.0,1971-01-01,USA
pontiac firebird,19.0,6,250.0,100.0,3282,15.0,1971-01-01,USA
ford mustang,18.0,6,250.0,88.0,3139,14.5,1971-01-01,USA
mercury capri 2000,23.0,4,122.0,86.0,2220,14.0,1971-01-01,USA
opel 1900,28.0,4,116.0,90.0,2123,14.0,1971-01-01,Europe
peugeot 304,30.0,4,79.0,70.0,2074,19.5,1971-01-01,Europe
fiat 124b,30.0,4,88.0,76.0,2065,14.5,1971-01-01,Europe
toyota corolla 1200,31.0,4,71.0,65.0,1773,19.0,1971-01-01,Japan
datsun 1200,35.0,4,72.0,69.0,1613,18.0,1971-01-01,Japan
volkswagen model 111,27.0,4,97.0,60.0,1834,19.0,1971-01-01,Europe
plymouth cricket,26.0,4,91.0,70.0,1955,20.5,1971-01-01,USA
toyota corona hardtop,24.0,4,113.0,95.0,2278,15.5,1972-01-01,Japan
dodge colt hardtop,25.0,4,97.5,80.0,2126,17.0,1972-01-01,USA
volkswagen type 3,23.0,4,97.0,54.0,2254,23.5,1972-01-01,Europe
chevrolet vega,20.0,4,140.0,90.0,2408,19.5,1972-01-01,USA
ford pinto runabout,21.0,4,122.0,86.0,2226,16.5,1972-01-01,USA
chevrolet impala,13.0,8,350.0,165.0,4274,12.0,1972-01-01,USA
pontiac catalina,14.0,8,400.0,175.0,4385,12.0,1972-01-01,USA
plymouth fury iii,15.0,8,318.0,150.0,4135,13.5,1972-01-01,USA
ford galaxie 500,14.0,8,351.0,153.0,4129,13.0,1972-01-01,USA
amc ambassador sst,17.0,8,304.0,150.0,3672,11.5,1972-01-01,USA
mercury marquis,11.0,8,429.0,208.0,4633,11.0,1972-01-01,USA
buick lesabre custom,13.0,8,350.0,155.0,4502,13.5,1972-01-01,USA
oldsmobile delta 88 royale,12.0,8,350.0,160.0,4456,13.5,1972-01-01,USA
chrysler newport royal,13.0,8,400.0,190.0,4422,12.5,1972-01-01,USA
mazda rx2 coupe,19.0,3,70.0,97.0,2330,13.5,1972-01-01,Japan
amc matador (sw),15.0,8,304.0,150.0,3892,12.5,1972-01-01,USA
chevrolet chevelle concours (sw),13.0,8,307.0,130.0,4098,14.0,1972-01-01,USA
ford gran torino (sw),13.0,8,302.0,140.0,4294,16.0,1972-01-01,USA
plymouth satellite custom (sw),14.0,8,318.0,150.0,4077,14.0,1972-01-01,USA
volvo 145e (sw),18.0,4,121.0,112.0,2933,14.5,1972-01-01,Europe
volkswagen 411 (sw),22.0,4,121.0,76.0,2511,18.0,1972-01-01,Europe
peugeot 504 (sw),21.0,4,120.0,87.0,2979,19.5,1972-01-01,Europe
renault 12 (sw),26.0,4,96.0,69.0,2189,18.0,1972-01-01,Europe
ford pinto (sw),22.0,4,122.0,86.0,2395,16.0,1972-01-01,USA
datsun 510 (sw),28.0,4,97.0,92.0,2288,17.0,1972-01-01,Japan
toyouta corona mark ii (sw),23.0,4,120.0,97.0,2506,14.5,1972-01-01,Japan
dodge colt (sw),28.0,4,98.0,80.0,2164,15.0,1972-01-01,USA
toyota corolla 1600 (sw),27.0,4,97.0,88.0,2100,16.5,1972-01-01,Japan
buick century 350,13.0,8,350.0,175.0,4100,13.0,1973-01-01,USA
amc matador,14.0,8,304.0,150.0,3672,11.5,1973-01-01,USA
chevrolet malibu,13.0,8,350.0,145.0,3988,13.0,1973-01-01,USA
ford gran torino,14.0,8,302.0,137.0,4042,14.5,1973-01-01,USA
dodge coronet custom,15.0,8,318.0,150.0,3777,12.5,1973-01-01,USA
mercury marquis brougham,12.0,8,429.0,198.0,4952,11.5,1973-01-01,USA
chevrolet caprice classic,13.0,8,400.0,150.0,4464,12.0,1973-01-01,USA
ford ltd,13.0,8,351.0,158.0,4363,13.0,1973-01-01,USA
